,station_name,station_name_eng,station_address,station_longitude,station_latitude,station_type,geometry
155,เขาดาดฟ้า,Khao Dat Fa,สถานีทวนสัญญาณเขาดาดฟ้า  อ.ขนอม  จ.นครศรีธรรมราช,99.82582,9.11856,A3,POINT (99.82581999999999 9.11856)
156,เขาคูหา,Khao Ku Ha,เขาคูหา (เขารามโรม),99.804722,8.236749,A3,POINT (99.804722 8.236749)
157,ตรัง,Trang,108 หมู่ที่ 5 ต.เขาวิเศษ อ.วังวิเศษ จ.ตรัง,99.486511,7.656956,M,POINT (99.48651099999999 7.656956)
158,ปะเหลียน,Pa-Lian,อ.ปะเหลียน  จ.ตรัง,99.68456,7.1702699999999995,A3,POINT (99.68456 7.170269999999999)
159,สงขลา,Song Khla,เขาคอหงส์ อ.หาดใหญ่ จ.สงขลา,100.51969,7.0151699999999995,M,POINT (100.51969 7.015169999999999)
160,เทพา,Thepha,หมู่ที่ 1 ต.ลำไพล อ.เทพา จ.สงขลา,100.938,6.73982,A2,POINT (100.938 6.73982)
161,นาทวี,Na Thawi,ต.คลองทราย    อ.นาทวี    จ.สงขลา,100.691846,6.741278,A2,POINT (100.691846 6.741278)
162,สตูล,Satun,ควนขี้หมา อ.เมือง จ.สตูล,100.0256,6.63537,M,POINT (100.0256 6.63537)
163,ยะลา,Yala,เขาปกโย๊ะ อ.บันนังสตา จ.ยะลา,101.389309,6.335338,M,POINT (101.389309 6.335338)
164,เบตง,Betong,1 หมู่ที่ 2 ต.เบตง  อ.เบตง จ.ยะลา   ,101.06776500000001,5.76206,A1,POINT (101.067765 5.76206)
165,สุไหงปาดี,Su-Ngai Padi,หมู่ที่ 6 ต.สุไหงปาดี  อ.สุไหงปาดี  จ.นราธิวาส,101.892606,6.143472,A1,POINT (101.892606 6.143472)
166,นราธิวาส,Narathiwat,220 หมู่ที่ 10  ต.ลำภู อ.เมือง จ.นราธิวาส ,101.80194399999999,6.411111,A1,POINT (101.801944 6.411111)
167,เมืองยะลา,Mueang Yala,เขาบือยอ อ.เมือง จ.ยะลา,101.283149,6.477219,A3,POINT (101.283149 6.477219)
168,ปะนาเระ,Pa Na Re,ต.ปะนาเระ อ.ปะนาเระ จ.ปัตตานี,101.489494,6.858061,A3,POINT (101.489494 6.858061)
